year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2025,Lucid,Air Pure RWD with 19 inch wheels,Air,22.61,23.14,23.79,Rear-Wheel Drive,48374,420,430,408,209.1,198.8,330 kW ACPM,Automatic (A1),0.2261,0.2314,0.2379,74.9736
2026,Lucid,Air Pure RWD with 19 inch wheels,Air,22.61,23.14,23.79,Rear-Wheel Drive,49969,420,430,408,209.1,198.8,330 kW ACPM,Automatic (A1),0.2261,0.2314,0.2379,74.9736
2023,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),Ioniq 6,21.63,23.57,27,Rear-Wheel Drive,46622,361,0,0,208.6,173.9,168 kW PMSM,Automatic (A1),0.2163,0.2357,0.27,76.3668
2021,Tesla,Model 3 Standard Range Plus RWD,Model 3,22.44,23.74,25.34,Rear-Wheel Drive,43821,263,277.5,234.7,201.2,178.2,198 kW AC 3-Phase,Automatic (A1),0.2244,0.2374,0.2534,76.9176
2020,Tesla,Model 3 Standard Range Plus,Model 3,22.71,23.98,25.53,Rear-Wheel Drive,42278,250,260.9,232.1,210.4,187.1,211 kW AC 3-Phase,Automatic (A1),0.2271,0.2398,0.2553,77.6952
2024,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),Ioniq 6,22,24,27,Rear-Wheel Drive,46957,361,390,325,208.6,173.9,168 kW PMSM,Automatic (A1),0.22,0.24,0.27,77.76
2023,Lucid,Air Pure AWD with 19 inch wheels,Air,23.99,24.06,24.05,All-Wheel Drive,46307,410,0,0,187.4,186.9,TBD,Automatic (A1),0.2399,0.2406,0.2405,77.9544
2023,Lucid,Air Touring AWD with 19 inch wheels,Air,23.99,24.06,24.05,All-Wheel Drive,46309,425,0,0,187.4,186.9,TBD,Automatic (A1),0.2399,0.2406,0.2405,77.9544
2026,Tesla,Model 3 Standard RWD,Model 3,22.95,24.3,25.96,Rear-Wheel Drive,50251,321,339,299,209.8,185.5,225 kW ACPM 3-Phase,Automatic (A1),0.2295,0.243,0.2596,78.732
2026,Tesla,Model Y Standard RWD (18in Wheels),Model Y,22.84,24.35,26.18,Rear-Wheel Drive,50040,321,341,297,210.8,183.9,228 and 243 kW ACPM 3-Phase,Automatic (A1),0.2284,0.2435,0.2618,78.894
2024,Lucid,Air Pure RWD with 19 inch wheels,Air,24.05,24.58,25.23,Rear-Wheel Drive,47454,419,428,408,192.6,183.6,330 kW ACPM,Automatic (A1),0.2405,0.2458,0.2523,79.6392
2025,Tesla,Model 3 Long Range RWD,Model 3,23.27,24.64,26.31,Rear-Wheel Drive,48765,363,383,339,206.9,183,192 kW ACPM 3-Phase,Automatic (A1),0.2327,0.2464,0.2631,79.8336
2024,Tesla,Model 3 Long Range RWD,Model 3,23.27,24.64,26.31,Rear-Wheel Drive,48795,363,383,339,206.9,183,192 kW ACPM 3-Phase,Automatic (A1),0.2327,0.2464,0.2631,79.8336
2026,Tesla,Model 3 Premium RWD,Model 3,23.27,24.64,26.31,Rear-Wheel Drive,50038,363,383,339,206.9,183,225 kW ACPM 3-Phase,Automatic (A1),0.2327,0.2464,0.2631,79.8336
2017,Hyundai,Ioniq Electric,Ioniq,22,25,28,Front-Wheel Drive,38431,124,135.4,110,224.8,182.7,88 kW AC PMSM,Automatic (A1),0.22,0.25,0.28,81
2018,Hyundai,Ioniq Electric,Ioniq,22,25,28,Front-Wheel Drive,39641,124,135.4,110,224.8,182.7,88 kW AC PMSM,Automatic (A1),0.22,0.25,0.28,81
2019,Hyundai,Ioniq Electric,Ioniq,22,25,28,Front-Wheel Drive,40384,124,135.4,110,224.8,182.7,88 kW AC PMSM,Automatic (A1),0.22,0.25,0.28,81
2023,Hyundai,Ioniq 6 Standard Range RWD,Ioniq 6,21.74,25,28,Rear-Wheel Drive,46624,240,0,0,221.5,176.3,111 kW PMSM,Automatic (A1),0.2174,0.25,0.28,81
2024,Hyundai,Ioniq 6 Standard Range RWD,Ioniq 6,22,25,28,Rear-Wheel Drive,46959,240,264,210,221.5,176.3,111 kW PMSM,Automatic (A1),0.22,0.25,0.28,81
2025,Hyundai,Ioniq 6 Standard Range,Ioniq 6,21.74,25,28,Rear-Wheel Drive,48364,240,267,207,221.5,176.3,111 kW PMSM,Automatic (A1),0.2174,0.25,0.28,81
2021,Tesla,Model 3 Long Range AWD,Model 3,23.96,25.11,26.52,All-Wheel Drive,43401,353,369.5,333.8,188.3,170.1,98 and 195 kW AC 3-Phase,Automatic (A1),0.2396,0.2511,0.2652,81.3564
2026,Lucid,Air Touring AWD with 19 inch wheels,Air,24.84,25.19,25.62,All-Wheel Drive,49972,431,437,424,186,180.3,178 and 433 kW ACPM,Automatic (A1),0.2484,0.2519,0.2562,81.6156
2026,Tesla,Model Y Long Range RWD,Model Y,23.44,25.23,27.4,Rear-Wheel Drive,49743,357,382,327,205.4,175.7,228 and 243 kW ACPM,Automatic (A1),0.2344,0.2523,0.274,81.7452
2024,Lucid,Air Touring AWD with 19 inch wheels,Air,24.99,25.3,25.68,All-Wheel Drive,47839,411,416,405,182.8,177.9,178 and 433 kW ACPM,Automatic (A1),0.2499,0.253,0.2568,81.972
2019,Tesla,Model 3 Standard Range Plus,Model 3,24,25.39,27.08,Rear-Wheel Drive,41416,240,253,224.1,200.6,177.8,211 kW AC 3-Phase,Automatic (A1),0.24,0.2539,0.2708,82.2636
2020,Hyundai,Ioniq Electric,Ioniq,23.31,25.39,27.93,Front-Wheel Drive,42273,170,183.8,153.3,206.6,172.4,100 kW AC PMSM,Automatic (A1),0.2331,0.2539,0.2793,82.2636
2021,Hyundai,Ioniq Electric,Ioniq,23.31,25.39,27.93,Front-Wheel Drive,43879,170,183.8,153.3,206.6,172.4,100 kW AC PMSM,Automatic (A1),0.2331,0.2539,0.2793,82.2636
2024,Tesla,Model 3 RWD,Model 3,24.14,25.45,27.05,Rear-Wheel Drive,47909,272,286,255,199.5,178,192 kW ACPM 3-Phase,Automatic (A1),0.2414,0.2545,0.2705,82.458
2022,Tesla,Model 3 RWD,Model 3,24.51,25.49,26.7,Rear-Wheel Drive,45013,272,284,260.6,185.3,170.1,192 kW AC 3-Phase,Automatic (A1),0.2451,0.2549,0.267,82.5876
2023,Tesla,Model 3 RWD,Model 3,24.51,25.49,26.7,Rear-Wheel Drive,46206,272,284,260.6,185.3,170.1,192 kW AC 3-Phase,Automatic (A1),0.2451,0.2549,0.267,82.5876
2026,Toyota,bZ (energy capacity 191 Ah),bZ,24,25.5,28.11,Front-Wheel Drive,50042,314,336,287,206,171.3,167 kW AC Synchronous,Automatic (A1),0.24,0.255,0.2811,82.62
2025,Lucid,Air Touring AWD with 19 inch wheels,Air,25.27,25.58,25.97,All-Wheel Drive,48377,406,411,400,182.8,177.9,178 and 433 kW ACPM,Automatic (A1),0.2527,0.2558,0.2597,82.8792
2025,Tesla,Model 3 Long Range RWD-I (19in wheels),Model 3,24.15,25.65,27.48,Rear-Wheel Drive,49154,346,366,322,199.4,175.2,"192, 213 and 225 kW ACPM 3-Phase",Automatic (A1),0.2415,0.2565,0.2748,83.106
2019,Tesla,Model 3 Standard Range,Model 3,24.4,25.69,27.27,Rear-Wheel Drive,41415,220,230.5,206.3,197.3,176.6,211 kW AC 3-Phase,Automatic (A1),0.244,0.2569,0.2727,83.2356
2020,Tesla,Model 3 Standard Range,Model 3,24.4,25.69,27.27,Rear-Wheel Drive,42277,220,230.5,206.3,197.3,176.6,211 kW AC 3-Phase,Automatic (A1),0.244,0.2569,0.2727,83.2356
2026,Tesla,Model Y Standard RWD (19in Wheels),Model Y,23.77,25.69,28.04,Rear-Wheel Drive,50041,321,345,292,202.6,171.7,228 and 243 kW ACPM 3-Phase,Automatic (A1),0.2377,0.2569,0.2804,83.2356
2022,Lucid,Air G Touring AWD w/19 inch wheels,Air,25.89,25.71,25.48,All-Wheel Drive,44495,516,512.1,520.5,173.56,176.36,178 and 433kW ACPM,Automatic (A1),0.2589,0.2571,0.2548,83.3004
2023,Lucid,Air G Touring XR AWD with 19 inch wheels,Air,25.89,25.71,25.48,All-Wheel Drive,46303,516,0,0,173.56,176.36,370 and 459kW ACPM,Automatic (A1),0.2589,0.2571,0.2548,83.3004
2022,Tesla,Model 3 Long Range AWD,Model 3,25.1,25.82,26.71,All-Wheel Drive,45011,358,367.5,345.4,184.5,173.4,98 and 195 kW AC 3-Phase,Automatic (A1),0.251,0.2582,0.2671,83.6568
2023,Tesla,Model 3 Long Range AWD,Model 3,25.1,25.82,26.71,All-Wheel Drive,46204,358,367.5,345.4,184.5,173.4,98 and 195 kW AC 3-Phase,Automatic (A1),0.251,0.2582,0.2671,83.6568
2024,Tesla,Model 3 Long Range AWD,Model 3,24.68,25.84,27.25,All-Wheel Drive,47908,342,357,323,195.1,176.7,84 and 191 kW ACPM 3-Phase,Automatic (A1),0.2468,0.2584,0.2725,83.7216
2026,Toyota,bZ (energy capacity 200 Ah),bZ,23.45,25.84,28.75,Front-Wheel Drive,49983,236,257,210,205.3,167.5,167  kW AC Synchronous,Automatic (A1),0.2345,0.2584,0.2875,83.7216
2018,Tesla,Model 3 Long Range,Model 3,24.69,25.88,27.33,Rear-Wheel Drive,39836,310,324.08,292.8,195,176.2,202 kW AC 3-Phase,Automatic (A1),0.2469,0.2588,0.2733,83.8512
2019,Tesla,Model 3 Long Range,Model 3,24.69,25.88,27.33,Rear-Wheel Drive,41189,310,324.08,292.8,195,176.2,211 kW AC 3-Phase,Automatic (A1),0.2469,0.2588,0.2733,83.8512
2020,Tesla,Model 3 Long Range,Model 3,24.69,25.88,27.33,Rear-Wheel Drive,42274,330,345,311.7,195,176.2,211 kW AC 3-Phase,Automatic (A1),0.2469,0.2588,0.2733,83.8512
2024,Lucid,Air Pure RWD with 20 inch wheels,Air,25.19,25.93,26.84,Rear-Wheel Drive,47455,394,405,380,183.9,172.6,330 kW ACPM,Automatic (A1),0.2519,0.2593,0.2684,84.0132
2025,Hyundai,Ioniq 6 RWD (18 inch Wheels),Ioniq 6,23.08,26,27.69,Rear-Wheel Drive,48362,342,370,308,208.6,173.9,168 kW PMSM,Automatic (A1),0.2308,0.26,0.2769,84.24
2021,Tesla,Model Y Standard Range RWD,Model Y,24.1,26.03,28.38,Rear-Wheel Drive,43880,244,261.5,222.1,190.8,162,209 kW AC 3-Phase,Automatic (A1),0.241,0.2603,0.2838,84.3372
2022,Tesla,Model Y RWD,Model Y,24.1,26.03,28.38,Rear-Wheel Drive,45017,244,0,0,190.8,162,209 kW AC 3-Phase,Automatic (A1),0.241,0.2603,0.2838,84.3372
2025,Lucid,Air Pure RWD with 20 inch wheels,Air,25.46,26.1,26.88,Rear-Wheel Drive,48375,372,381,361,185.7,175.9,330 kW ACPM,Automatic (A1),0.2546,0.261,0.2688,84.564
2026,Lucid,Air Pure RWD with 20 inch wheels,Air,25.46,26.1,26.88,Rear-Wheel Drive,49970,372,381,361,185.7,175.9,330 kW ACPM,Automatic (A1),0.2546,0.261,0.2688,84.564
2024,Lucid,Air G Touring XR AWD with19 inch wheels,Air,25.92,26.14,26.41,All-Wheel Drive,47836,516,520,511,176.3,173,178 and 433 kW ACPM,Automatic (A1),0.2592,0.2614,0.2641,84.6936
2024,Tesla,Model 3 Long Range AWD-E,Model 3,25.28,26.38,27.72,All-Wheel Drive,48473,341,355,324,190.5,173.7,191 kW ACPM 3-Phase,Automatic (A1),0.2528,0.2638,0.2772,85.4712
2025,Tesla,Model 3 Long Range AWD,Model 3,25.28,26.38,27.72,All-Wheel Drive,48764,346,360,329,190.5,173.7,85 and 88 kW ACPM 3-Phase,Automatic (A1),0.2528,0.2638,0.2772,85.4712
2026,Tesla,Model 3 Premium AWD,Model 3,25.28,26.38,27.72,All-Wheel Drive,50037,346,360,329,190.5,173.7,88 and 208 kW AC Induction,Automatic (A1),0.2528,0.2638,0.2772,85.4712
2025,Lucid,Air G Touring XR AWD with 19 inch wheels,Air,26.2,26.43,26.7,All-Wheel Drive,48371,512,516,507,176.3,173,178 and 433 kW ACPM,Automatic (A1),0.262,0.2643,0.267,85.6332
2026,Lucid,Air G Touring XR AWD with19 inch wheels,Air,26.2,26.43,26.7,All-Wheel Drive,49966,512,516,507,176.3,173,178 and 433 kW ACPM,Automatic (A1),0.262,0.2643,0.267,85.6332
2025,Lexus,RZ 300e (18 inch wheels),RZ,24,26.76,29.74,Front-Wheel Drive,49099,266,287,241,198,161.9,150 kW AC Synchronous,Automatic (A1),0.24,0.2676,0.2974,86.7024
2017,Tesla,Model 3 Long Range,Model 3,25.79,26.83,28.09,Rear-Wheel Drive,39769,310,321.86,295.49,186.7,171.4,192 kW AC 3-Phase,Automatic (A1),0.2579,0.2683,0.2809,86.9292
2025,Tesla,Model Y Long Range RWD,Model Y,25.21,26.86,28.88,Rear-Wheel Drive,48771,337,357,312,191,166.7,221 kW ACPM 3-Phase,Automatic (A1),0.2521,0.2686,0.2888,87.0264
2026,Toyota,bZ LIMITED (energy capacity 191 Ah),bZ,24.48,26.86,29.78,Front-Wheel Drive,50043,299,325,267,196.7,161.7,167 kW AC Synchronous,Automatic (A1),0.2448,0.2686,0.2978,87.0264
2022,Lucid,Air Dream R AWD w/19 inch wheels,Air,26.85,26.87,26.89,All-Wheel Drive,44493,520,520.8,520,167.38,167.14,198 and 498kW ACPM,Automatic (A1),0.2685,0.2687,0.2689,87.0588
2014,BMW,i3 BEV,i3,25,27,30,Rear-Wheel Drive,35207,81,89,71.6,196.4,159.1,125 kW AC Induction,Automatic (A1),0.25,0.27,0.3,87.48
2015,BMW,i3 BEV,i3,25,27,30,Rear-Wheel Drive,36016,81,89,71.6,196.4,159.1,125 kW AC Induction,Automatic (A1),0.25,0.27,0.3,87.48
2016,BMW,i3 BEV,i3,25,27,30,Rear-Wheel Drive,37216,81,89,71.6,196.4,159.1,125 kW AC Induction,Automatic (A1),0.25,0.27,0.3,87.48
2017,BMW,i3 BEV (60  Amp-hour battery),i3,25,27,30,Rear-Wheel Drive,38000,81,89,71.6,196.4,159.1,125 kW AC Induction,Automatic (A1),0.25,0.27,0.3,87.48
2021,Hyundai,Kona Electric,Kona,25,27,31,Front-Wheel Drive,43747,258,0,0,195.5,155.5,150 kW AC PMSM,Automatic (A1),0.25,0.27,0.31,87.48
2024,Lexus,RZ 300e (18 inch wheels),RZ,25,27,30,Front-Wheel Drive,47832,266,290,237,198,161.9,150 kW AC Synchronous,Automatic (A1),0.25,0.27,0.3,87.48
2026,Mercedes-Benz,CLA250 Plus with EQ Tech (R22),CLA-Class,26,27,27,Rear-Wheel Drive,50031,374,380,366,192.8,188,200  kW ACPM 3-Phase,Automatic (A1),0.26,0.27,0.27,87.48
2021,Tesla,Model Y Long Range AWD,Model Y,25.65,27.05,28.76,All-Wheel Drive,43406,326,342.5,305.5,171.1,152.6,69 and 201 kW AC 3-Phase,Automatic (A1),0.2565,0.2705,0.2876,87.642
2025,Tesla,Model S,Model S,25.63,27.13,28.97,All-Wheel Drive,49124,410,432,383,187.9,166.2,243 and 248 kW ACPM 3-Phase,Automatic (A1),0.2563,0.2713,0.2897,87.9012
2026,Tesla,Model S,Model S,25.63,27.13,28.97,All-Wheel Drive,49741,410,432,383,187.9,166.2,243 and 248 kW ACPM 3-Phase,Automatic (A1),0.2563,0.2713,0.2897,87.9012
2024,Hyundai,Ioniq 6 Long range AWD (18 inch Wheels),Ioniq 6,25.28,27.23,29.61,All-Wheel Drive,46955,316,338,289,190.5,162.6,165 kW PMSM,Automatic (A1),0.2528,0.2723,0.2961,88.2252
2026,Lucid,Air Touring AWD with 20 inch wheels,Air,26.78,27.31,27.95,All-Wheel Drive,49973,396,404,387,172.5,165.3,178 and 433 kW ACPM,Automatic (A1),0.2678,0.2731,0.2795,88.4844
2024,Lucid,Air Touring AWD with 20 inch wheels,Air,26.97,27.45,28.03,All-Wheel Drive,47840,382,389,374,169.4,163,178 and 433 kW ACPM,Automatic (A1),0.2697,0.2745,0.2803,88.938
2020,Hyundai,Kona Electric,Kona,24.63,27.48,30.96,Front-Wheel Drive,42089,258,284.12,226.02,195.5,155.5,150 kW AC PMSM,Automatic (A1),0.2463,0.2748,0.3096,89.0352
2023,Hyundai,Kona Electric,Kona,24.63,27.48,30.96,Front-Wheel Drive,46000,258,0,0,195.5,155.5,TBD,Automatic (A1),0.2463,0.2748,0.3096,89.0352
2018,Tesla,Model 3 Mid Range,Model 3,26.4,27.49,28.82,Rear-Wheel Drive,41056,260,270.14,247.57,182.4,167.1,202 kW AC 3-Phase,Automatic (A1),0.264,0.2749,0.2882,89.0676
2019,Tesla,Model 3 Mid Range,Model 3,26.4,27.49,28.82,Rear-Wheel Drive,41188,264,274.1,251.2,182.4,167.1,211 kW AC 3-Phase,Automatic (A1),0.264,0.2749,0.2882,89.0676
2020,Tesla,Model 3 Mid Range,Model 3,26.4,27.49,28.82,Rear-Wheel Drive,42276,264,274.1,251.2,182.4,167.1,211 kW AC 3-Phase,Automatic (A1),0.264,0.2749,0.2882,89.0676
2026,Toyota,bZ LIMITED (energy capacity 200 Ah),bZ,25.17,27.49,30.32,Front-Wheel Drive,49984,296,321,266,191.3,158.8,167  kW AC Synchronous,Automatic (A1),0.2517,0.2749,0.3032,89.0676
2026,Tesla,Model Y Long Range AWD,Model Y,25.97,27.5,29.36,All-Wheel Drive,49744,327,345,305,185.4,164,90 and 200 kW ACPM,Automatic (A1),0.2597,0.275,0.2936,89.1
2022,Tesla,Model Y AWD,Model Y,26.23,27.51,29.08,All-Wheel Drive,45196,279,291.9,263.3,167.3,150.9,91 and 200 kW AC 3-Phase,Automatic (A1),0.2623,0.2751,0.2908,89.1324
2023,Tesla,Model Y AWD,Model Y,26.23,27.51,29.08,All-Wheel Drive,46211,279,291.9,263.3,167.3,150.9,91 and 200 kW AC 3-Phase,Automatic (A1),0.2623,0.2751,0.2908,89.1324
2022,Tesla,Model Y Long Range AWD,Model Y,26.63,27.63,28.85,All-Wheel Drive,45018,330,342.2,315.7,164.8,152.1,91 and 200 kW AC 3-Phase,Automatic (A1),0.2663,0.2763,0.2885,89.5212
2023,Tesla,Model Y Long Range AWD,Model Y,26.63,27.63,28.85,All-Wheel Drive,46212,330,342.2,315.7,164.8,152.1,91 and 200 kW AC 3-Phase,Automatic (A1),0.2663,0.2763,0.2885,89.5212
2024,Tesla,Model S,Model S,26.56,27.7,29.1,All-Wheel Drive,47910,402,418,382,181,165.2,247 and 247 kW ACPM 3-Phase,Automatic (A1),0.2656,0.277,0.291,89.748
2025,Lucid,Air Touring AWD with 20 inch wheels,Air,27.27,27.75,28.34,All-Wheel Drive,48378,377,384,369,169.4,163,178 and 433 kW ACPM,Automatic (A1),0.2727,0.2775,0.2834,89.91
2022,Lucid,Air G Touring AWD w/21 inch wheels,Air,27.96,27.79,27.59,All-Wheel Drive,44496,469,466.2,472.2,160.8,162.9,178 and 433kW ACPM,Automatic (A1),0.2796,0.2779,0.2759,90.0396
2023,Lucid,Air G Touring XR AWD with 20 inch wheels,Air,27.96,27.79,27.59,All-Wheel Drive,46304,469,0,0,160.8,162.9,370 and 370kW ACPM,Automatic (A1),0.2796,0.2779,0.2759,90.0396
2023,Lucid,Air G Touring XR AWD with 21 inch wheels,Air,27.96,27.79,27.59,All-Wheel Drive,46305,469,0,0,160.8,162.9,TBD,Automatic (A1),0.2796,0.2779,0.2759,90.0396
2026,Nissan,LEAF 75kWh (18 inch steel Wheels),LEAF,25.78,27.82,30.32,Front-Wheel Drive,49975,303,325,276,186.8,158.8,160 kW AC 3-phase,Automatic (A1),0.2578,0.2782,0.3032,90.1368
2024,Lucid,Air G Touring XR AWD with 20 inch wheels,Air,27.39,27.85,28.41,All-Wheel Drive,47837,485,493,475,166.8,160.8,178 and 433 kW ACPM,Automatic (A1),0.2739,0.2785,0.2841,90.234
2020,Tesla,Model Y Long Range AWD,Model Y,26.52,27.86,29.49,All-Wheel Drive,42916,316,330.71,297.44,169,152,158 and 203 kW AC 3-Phase,Automatic (A1),0.2652,0.2786,0.2949,90.2664
2023,Lucid,Air Pure AWD with 20 inch wheels,Air,27.75,27.86,27.99,All-Wheel Drive,46308,384,0,0,162,160.6,TBD,Automatic (A1),0.2775,0.2786,0.2799,90.2664
2023,Lucid,Air Touring AWD with 20 inch wheels,Air,27.75,27.86,27.99,All-Wheel Drive,46310,384,0,0,162,160.6,TBD,Automatic (A1),0.2775,0.2786,0.2799,90.2664
2023,Lucid,Air Touring AWD with 21 inch wheels,Air,27.75,27.86,27.99,All-Wheel Drive,46311,384,0,0,162,160.6,TBD,Automatic (A1),0.2775,0.2786,0.2799,90.2664
2020,Tesla,Model 3 Long Range AWD,Model 3,27.16,27.96,28.94,All-Wheel Drive,42275,322,331.1,310.6,176.5,159.1,147 and 188 kW AC 3-Phase,Automatic (A1),0.2716,0.2796,0.2894,90.5904
2026,Subaru,Solterra AWD,Solterra,25.63,27.96,30.81,All-Wheel Drive,49982,288,312,259,187.9,156.3,87 and 167  kW AC Synchronous,Automatic (A1),0.2563,0.2796,0.3081,90.5904
2020,Tesla,Model Y Performance AWD,Model Y,26.23,27.97,30.1,All-Wheel Drive,42474,315,334.04,290.98,170,148.1,147 and 211 kW AC 3-Phase,Automatic (A1),0.2623,0.2797,0.301,90.6228
2024,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),i4,27.63,27.98,28.41,Rear-Wheel Drive,46919,276,279,272,170.3,165.6,250 kW EESM,Automatic (A1),0.2763,0.2798,0.2841,90.6552
2013,Scion,iQ EV,iQ,24,28,32,Front-Wheel Drive,33307,38,42.4,31.62,197.58,149.72,,Automatic (variable gear ratios),0.24,0.28,0.32,90.72
2014,Chevrolet,Spark EV,Spark,26,28,31,Front-Wheel Drive,33640,82,87.8,74.8,183.2,156,104 kW AC Induction,Automatic (A1),0.26,0.28,0.31,90.72
2019,Hyundai,Kona Electric,Kona,26,28,30.96,Front-Wheel Drive,40585,258,284.12,226.02,195.5,155.5,150 kW AC PMSM,Automatic (A1),0.26,0.28,0.3096,90.72
2020,Tesla,Model 3 Long Range Performance AWD (18in),Model 3,27,28,29,All-Wheel Drive,42279,322,332.16,319.19,182.7,170.2,147 and 211 kW AC 3-Phase,Automatic (A1),0.27,0.28,0.29,90.72
2022,Hyundai,Kona Electric,Kona,26,28,30.96,Front-Wheel Drive,44444,258,0,0,195.5,155.5,150 kW AC PMSM,Automatic (A1),0.26,0.28,0.3096,90.72
2023,Hyundai,Ioniq 6 Long range AWD (18 inch Wheels),Ioniq 6,26,28,29.61,All-Wheel Drive,46620,316,0,0,190.5,162.6,74 and 165 kW PMSM,Automatic (A1),0.26,0.28,0.2961,90.72
2025,Hyundai,Ioniq 6 AWD (18 inch Wheels),Ioniq 6,26,28,29.61,All-Wheel Drive,48361,316,334,294,190.5,162.6,74 and 165 kW PMSM,Automatic (A1),0.26,0.28,0.2961,90.72
2026,Toyota,bZ AWD,bZ,25.68,28,30.83,All-Wheel Drive,49985,288,311,259,187.5,156.2,87 and 167  kW AC Synchronous,Automatic (A1),0.2568,0.28,0.3083,90.72
2024,Tesla,Model Y RWD,Model Y,26.3,28.01,30.09,Rear-Wheel Drive,48476,260,276,241,183.1,160,203 kW ACPM 3-Phase,Automatic (A1),0.263,0.2801,0.3009,90.7524
2023,Kia,EV6 Long Range RWD,EV6,24.39,28.04,32.49,Rear-Wheel Drive,46006,310,0,0,197.4,148.2,TBD,Automatic (A1),0.2439,0.2804,0.3249,90.8496
2024,Tesla,Model Y Long Range RWD,Model Y,26.4,28.06,30.09,Rear-Wheel Drive,48475,320,339,297,182.4,160,221 kW ACPM 3-Phase,Automatic (A1),0.264,0.2806,0.3009,90.9144
2022,Chevrolet,Bolt EV,Bolt EV,25.8,28.11,30.92,Front-Wheel Drive,43955,259,279.8,233.4,186.6,155.7,150 kW ACPM,Automatic (variable gear ratios),0.258,0.2811,0.3092,91.0764
2023,Chevrolet,Bolt EV,Bolt EV,25.8,28.11,30.92,Front-Wheel Drive,45751,259,0,0,186.6,155.7,150 kW ACPM,Automatic (A1),0.258,0.2811,0.3092,91.0764
2026,Lexus,RZ 350e FWD (20 inch Wheels),RZ,26.15,28.13,30.55,Front-Wheel Drive,50216,284,304,260,184.1,157.6,167 kW AC Synchronous,Automatic (A1),0.2615,0.2813,0.3055,91.1412
2025,Lucid,Air G Touring XR AWD with 20 inch wheels,Air,27.7,28.16,28.73,All-Wheel Drive,48372,480,488,470,166.8,160.8,178 and 433 kW ACPM,Automatic (A1),0.277,0.2816,0.2873,91.2384
2026,Lucid,Air G Touring XR AWD with 20 inch wheels,Air,27.7,28.16,28.73,All-Wheel Drive,49967,480,488,470,166.8,160.8,178 and 433 kW ACPM,Automatic (A1),0.277,0.2816,0.2873,91.2384
2021,Tesla,Model S Long Range,Model S,27.16,28.18,29.42,All-Wheel Drive,44051,405,420,387.7,163.9,151.3,179 and 186 kW AC 3-Phase,Automatic (A1),0.2716,0.2818,0.2942,91.3032
2022,Tesla,Model S,Model S,27.16,28.18,29.42,All-Wheel Drive,45014,405,420,387.7,163.9,151.3,247 and 247 kW AC 3-Phase,Automatic (A1),0.2716,0.2818,0.2942,91.3032
2023,Tesla,Model S,Model S,27.16,28.18,29.42,All-Wheel Drive,46207,405,420,387.7,163.9,151.3,247 and 247 kW AC 3-Phase,Automatic (A1),0.2716,0.2818,0.2942,91.3032
2017,Chevrolet,Bolt EV,Bolt EV,26.43,28.3,30.59,Front-Wheel Drive,38187,238,255.1,217.4,182.2,157.4,150 kW ACPM,Automatic (A1),0.2643,0.283,0.3059,91.692
2018,Chevrolet,Bolt EV,Bolt EV,26.43,28.3,30.59,Front-Wheel Drive,39786,238,255.1,217.4,182.2,157.4,150 kW ACPM,Automatic (A1),0.2643,0.283,0.3059,91.692
2019,Chevrolet,Bolt EV,Bolt EV,26.43,28.3,30.59,Front-Wheel Drive,40520,238,255.1,217.4,182.2,157.4,150 kW ACPM,Automatic (A1),0.2643,0.283,0.3059,91.692
2023,Kia,EV6 Standard Range RWD,EV6,24.42,28.31,33.07,Rear-Wheel Drive,46007,232,0,0,197.2,145.6,TBD,Automatic (A1),0.2442,0.2831,0.3307,91.7244
2023,Toyota,bZ4X,bZ4X,25.8,28.32,31.39,Front-Wheel Drive,45756,252,0,0,186.6,153.4,150 kW AC Synchronous,Automatic (A1),0.258,0.2832,0.3139,91.7568
2024,Toyota,bZ4X,bZ4X,25.8,28.32,31.39,Front-Wheel Drive,47918,252,274,225,186.6,153.4,150 kW AC Synchronous,Automatic (A1),0.258,0.2832,0.3139,91.7568
2025,Toyota,bZ4X,bZ4X,25.8,28.32,31.39,Front-Wheel Drive,49126,252,274,225,186.6,153.4,150 kW AC Synchronous,Automatic (A1),0.258,0.2832,0.3139,91.7568
2015,Chevrolet,Spark EV,Spark,26.26,28.34,30.87,Front-Wheel Drive,35120,82,87.8,74.8,183.2,156,104 kW ACPM,Automatic (A1),0.2626,0.2834,0.3087,91.8216
2016,Chevrolet,Spark EV,Spark,26.26,28.34,30.87,Front-Wheel Drive,36996,82,87.8,74.8,183.2,156,105 kW ACPM,Automatic (A1),0.2626,0.2834,0.3087,91.8216
2017,Volkswagen,e-Golf,Golf/GTI,26.82,28.42,30.37,Front-Wheel Drive,38549,125,130.3,117.7,177,156.3,100 kW AC PMSM,Automatic (A1),0.2682,0.2842,0.3037,92.0808
2018,Volkswagen,e-Golf,Golf/GTI,26.82,28.42,30.37,Front-Wheel Drive,39871,125,130.3,117.7,177,156.3,100 kW AC PMSM,Automatic (A1),0.2682,0.2842,0.3037,92.0808
