year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2024,Audi,Q8 Sportback e-tron ultra quattro,Q8 e-tron,40.26,39.19,37.88,All-Wheel Drive,46914,300,292,310,111.3,118.3,172 kW Asynchron 3-Phase,Automatic (A2),0.4026,0.3919,0.3788,126.9756
2025,BMW,iX xDrive40 (20 inch Wheels),iX,38.89,39.25,39.7,All-Wheel Drive,48335,217,219,215,123.8,121.3,190 and 230 kW EESM,Automatic (A1),0.3889,0.3925,0.397,127.17
2022,BMW,iX xDrive50 (22 inch wheels),iX,39.12,39.27,39.45,All-Wheel Drive,45137,315,316.2,313.5,117.1,116.1,190 and 230 kW EESM,Automatic (A1),0.3912,0.3927,0.3945,127.2348
2023,BMW,iX xDrive50 (22 inch wheels),iX,39.12,39.27,39.45,All-Wheel Drive,45998,315,0,0,117.1,116.1,TBD,Automatic (A1),0.3912,0.3927,0.3945,127.2348
2021,Tesla,Model X Performance (22in Wheels),Model X,38.08,39.28,40.75,All-Wheel Drive,43405,300,309.3,289,119,111.2,151 and 273 kW AC 3-Phase,Automatic (A1),0.3808,0.3928,0.4075,127.2672
2024,BMW,iX xDrive40 (20 inch Wheels),iX,38.87,39.32,39.87,All-Wheel Drive,46939,217,219,214,123,119.9,190 kW EESM,Automatic (A1),0.3887,0.3932,0.3987,127.3968
2024,BMW,iX xDrive40 (21 inch Wheels),iX,38.87,39.32,39.87,All-Wheel Drive,46940,217,219,214,123,119.9,190 kW EESM,Automatic (A1),0.3887,0.3932,0.3987,127.3968
2024,BMW,iX xDrive40 (22 inch Wheels),iX,38.87,39.32,39.87,All-Wheel Drive,46941,217,219,214,123,119.9,230 kW EESM,Automatic (A1),0.3887,0.3932,0.3987,127.3968
2025,Porsche,Taycan Turbo,Taycan,38.43,39.34,40.46,All-Wheel Drive,48734,292,299,284,125.3,119,175 and 234 kW ACPM,Automatic (A2),0.3843,0.3934,0.4046,127.4616
2026,Porsche,Taycan Turbo,Taycan,38.43,39.34,40.46,All-Wheel Drive,50243,292,299,284,125.3,119,234 and 554 kW ACPM,Automatic (A2),0.3843,0.3934,0.4046,127.4616
2026,Cadillac,VISTIQ (11 kW Charger),VISTIQ,36.18,39.35,43.22,All-Wheel Drive,49636,305,329,275,133.1,111.4,155 and 220 kW AC Induction,Automatic (A1),0.3618,0.3935,0.4322,127.494
2026,Cadillac,VISTIQ (19 kW Charger),VISTIQ,36.18,39.35,43.22,All-Wheel Drive,49637,300,324,271,133.1,111.4,155 and 220 kW AC Induction,Automatic (A1),0.3618,0.3935,0.4322,127.494
2024,Ford,Mustang Mach-E Rally,Mustang Mach-E,37.43,39.36,39.36,All-Wheel Drive,47827,265,271,258,128.4,115.5,210 and 210 kW AC PMSM,Automatic (A1),0.3743,0.3936,0.3936,127.5264
2025,Ford,Mustang Mach-E Rally,Mustang Mach-E,37.5,39.38,41.69,All-Wheel Drive,49081,265,278,250,128.4,115.5,210 kW ACPM,Automatic (A1),0.375,0.3938,0.4169,127.5912
2022,Volvo,XC40 Recharge twin,XC40,36.66,39.44,42.83,All-Wheel Drive,44450,223,0,0,128.4,109.9,150 and 150 kW AC PMSM,Automatic (A1),0.3666,0.3944,0.4283,127.7856
2023,Volvo,XC40 Recharge twin,XC40,36.66,39.44,42.83,All-Wheel Drive,45761,223,0,0,128.4,109.9,150 and 150 kW ACPMSM,Automatic (A1),0.3666,0.3944,0.4283,127.7856
2023,Jaguar,I-Pace EV400 (20 inch tires),I-Pace,37.96,39.45,41.27,4-Wheel Drive,46001,246,0,0,117.3,107.9,TBD,Automatic (A1),0.3796,0.3945,0.4127,127.818
2024,Jaguar,I-Pace EV400 (20 inch tires),I-Pace,37.96,39.45,41.27,4-Wheel Drive,46963,246,255,235,117.3,107.9,147 kW PMSM,Automatic (A1),0.3796,0.3945,0.4127,127.818
2025,Rivian,R1S Dual Large (22in),R1S,35.89,39.47,43.85,4-Wheel Drive,48746,329,358,293,133,109,264 and 264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2025,Rivian,R1S Performance Dual Large (22in),R1S,35.89,39.47,43.85,4-Wheel Drive,48749,329,358,293,133,109,264 and 264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2025,Rivian,R1T Dual Large (22in),R1T,35.89,39.47,43.85,4-Wheel Drive,48756,329,358,293,133,109,264 and 264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2025,Rivian,R1T Performance Dual Large (22in),R1T,35.89,39.47,43.85,4-Wheel Drive,48759,329,358,293,133,109,264 and 264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2026,Rivian,R1T Dual Large (22in),R1T,35.89,39.47,43.85,4-Wheel Drive,49707,329,358,293,133,109,264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2026,Rivian,R1T Performance Dual Large (22in),R1T,35.89,39.47,43.85,4-Wheel Drive,49710,329,358,293,133,109,264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2026,Rivian,R1S Dual Large (22in),R1S,35.89,39.47,43.85,4-Wheel Drive,49732,329,358,293,133,109,264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2026,Rivian,R1S Performance Dual Large (22in),R1S,35.89,39.47,43.85,4-Wheel Drive,49735,329,358,293,133,109,264 kW ACPM,Automatic (A1),0.3589,0.3947,0.4385,127.8828
2018,Tesla,Model X P100D,Model X,40.82,39.54,37.98,All-Wheel Drive,39843,289,279.86,300.21,112.5,120.9,193 (front) 375 (rear) (100 kW-hr battery pack),Automatic (A1),0.4082,0.3954,0.3798,128.1096
